shed 24
industrial 9
office 60
apartments 96
house 765
clinic 6
yes 2634
hangar 33
no 6
residential 42
prison 3
warehouse 9
public 6
hotel 3
commercial 195
supermarket 3
school 21
university 3
roof 99
garage 3
condominium 15
detached 6
retail 21
